nameGiven,debut,finalGame,BOD,firstgame_age,lastgame_age,carrer_length
"Steven Norman",1965-04-12,1988-04-23,1944-12-22,20,43,23
"Edward Trowbridge",1906-09-17,1930-08-05,1887-5-2,19,43,23
"Dennis Lee",1975-04-12,1998-09-26,1954-10-3,20,43,23
"John Walter",1921-04-19,1944-07-30,1901-3-18,20,43,23
"Tyrus Raymond",1905-08-30,1928-09-11,1886-12-18,18,41,23
"William Roger",1984-05-15,2007-09-16,1962-8-4,21,45,23
"Walter James Vincent",1912-09-10,1935-09-29,1891-11-11,20,43,23
"Philip Henry",1964-04-15,1987-09-27,1939-4-1,25,48,23
Timothy,1979-09-11,2002-09-29,1959-9-16,19,43,23
"John Joseph",1887-04-20,1910-10-09,1866-6-2,20,44,23
"Charles Herbert",1924-05-31,1947-09-15,1905-5-3,19,42,23
"Peter Edward",1963-04-08,1986-08-17,1941-4-14,21,45,23
"Joseph Henry",1944-06-10,1966-10-02,1928-7-30,15,38,22
"Stanley Frank",1941-09-17,1963-09-29,1920-11-21,20,42,22
"Theodore Amar",1923-07-02,1946-05-19,1900-12-28,22,45,22
"Willie Howard",1951-05-25,1973-09-09,1931-5-6,20,42,22
"Herbert Jefferis",1912-05-14,1934-08-27,1894-2-10,18,40,22
Atanasio,1964-07-26,1986-10-05,1942-5-14,22,44,22
"Gregory Alan",1986-09-03,2008-09-27,1966-4-14,20,42,22
"Jose Dennis",1976-09-14,1998-09-27,1954-5-14,22,44,22
"Richard Michael",1972-04-16,1994-08-08,1951-7-5,20,43,22
"David Mark",1973-06-19,1995-10-01,1951-10-3,21,43,22
"Daniel Joseph",1963-04-09,1985-10-06,1944-4-1,19,41,22
"Carl Michael",1961-04-11,1983-10-02,1939-8-22,21,44,22
"Donald Howard",1966-04-14,1988-08-09,1945-4-2,21,43,22
"Henry Louis",1954-04-13,1976-10-03,1934-2-5,20,42,22
"Rik Aalbert",1970-06-05,1992-10-04,1951-4-6,19,41,22
"Charles Albert",1903-04-20,1925-07-21,1884-5-5,18,41,22
"Barry Lamar",1986-05-30,2007-09-26,1964-7-24,21,43,21
"James Joseph",1918-05-06,1939-10-01,1896-11-10,21,42,21
"Harry H.",1895-09-21,1917-05-30,1873-7-19,22,43,21
"Harold Douglas",1980-04-10,2001-09-27,1959-3-15,21,42,21
"Guy Terrell",1923-09-17,1945-05-26,1901-8-23,22,43,21
"Walter William",1924-09-22,1945-09-26,1904-10-16,19,40,21
"Fred Clifford",1894-06-30,1915-09-23,1872-10-3,21,42,21
"George Kenneth",1989-04-03,2010-05-31,1969-11-21,19,40,21
"Samuel Pond",1914-06-13,1935-09-28,1892-7-26,21,43,21
"Albert William",1953-06-25,1974-10-02,1934-12-19,18,39,21
"Harmon Clayton",1954-06-23,1975-09-26,1936-6-29,17,39,21
Rogers,1915-09-10,1937-07-20,1896-4-27,19,41,21
"John Anthony",1984-04-24,2005-07-01,1960-9-17,23,44,21
"Randall David",1988-09-15,2009-10-04,1963-9-10,25,46,21
"Joe Leonard",1963-09-21,1984-09-30,1943-9-19,20,41,21
"Brooks Calbert",1955-09-17,1977-08-13,1937-5-18,18,40,21
Eppa,1912-06-21,1933-08-05,1891-5-3,21,42,21
"Joseph Franklin",1967-04-16,1988-04-29,1944-11-7,22,43,21
"James Timothy",1959-09-10,1980-10-05,1941-10-16,17,38,21
Jerry,1969-09-27,1990-10-03,1949-6-19,20,41,21
"Clarence Elmer",1911-06-02,1932-06-21,1891-2-22,20,41,21
"Gaylord Jackson",1962-04-14,1983-09-21,1938-9-15,23,45,21
"Melvin Thomas",1926-04-27,1947-07-11,1909-3-2,17,38,21
Graig,1967-09-06,1988-10-01,1944-8-20,23,44,21
"Elmer William",1940-09-22,1961-10-01,1921-3-5,19,40,21
"Theodore Samuel",1939-04-20,1960-09-28,1918-8-30,20,42,21
"Enos Bradsher",1938-04-19,1959-09-29,1916-4-27,21,43,21
"James Barton",1939-07-08,1960-09-27,1918-4-22,21,42,21
"John Andrew",1988-07-23,2009-09-30,1967-5-15,21,42,21
"Denton True",1890-08-06,1911-10-06,1867-3-29,23,44,21
"James Howard",1991-09-04,2012-10-03,1970-8-27,21,42,21
"Samuel Luther",1885-07-02,1906-09-10,1860-3-5,25,46,21
"James Luther",1921-06-30,1942-08-01,1901-1-5,20,41,21
"Gary Antonian",1988-09-03,2009-09-30,1968-11-18,19,40,21
"Ruben Angel",1986-06-01,2006-07-09,1965-10-6,20,40,20
"Aloysius Harry",1924-04-15,1944-07-01,1902-5-22,21,42,20
"Curtis Thomas",1947-09-28,1967-10-01,1929-5-19,18,38,20
"Wilver Dornel",1962-09-16,1982-10-03,1940-3-6,22,42,20
"Ted Lyle",1968-09-21,1988-10-02,1949-8-9,19,39,20
"Charles Arthur",1915-04-16,1935-08-14,1891-3-4,24,44,20
"Tristram E.",1907-09-12,1928-08-30,1888-4-4,19,40,20
"John Peter",1897-07-19,1917-09-17,1874-2-24,23,43,20
"James Hoyt",1952-04-18,1972-07-10,1922-7-26,29,49,20
"Frank Daryl",1973-09-09,1993-10-01,1953-7-3,20,40,20
"David Lee",1987-06-30,2007-09-28,1963-5-20,24,44,20
"Charles John",1916-07-30,1936-09-23,1898-8-28,17,38,20
"Robert William Andrew",1936-07-19,1956-09-30,1918-11-3,17,37,20
"Thomas Michael",1987-08-17,2008-08-14,1966-3-25,21,42,20
Napoleon,1896-08-12,1916-08-26,1874-9-5,21,41,20
Thomas,1988-09-08,2009-05-03,1967-11-18,20,41,20
"Emil John",1933-08-31,1953-09-25,1909-3-25,24,44,20
"Reginald Martinez",1967-06-09,1987-10-04,1946-5-18,21,41,20
"James Emory",1925-05-01,1945-09-23,1907-10-22,17,37,20
"Walter Perry",1907-08-02,1927-09-30,1887-11-6,19,39,20
"Charles Benjamin",1906-04-18,1926-08-11,1882-5-18,23,44,20
"Andre Nolan",1976-09-11,1996-09-29,1954-7-10,22,42,20
"George Howard",1973-08-02,1993-10-03,1953-5-15,20,40,20
"Daniel Wayne",1978-09-08,1998-09-22,1955-10-25,22,42,20
"William Frederick",1891-04-22,1911-10-12,1870-1-5,21,41,20
"Darrell Wayne",1969-04-20,1989-10-01,1947-5-26,21,42,20
"Ronald Ray",1958-09-09,1978-09-23,1938-7-12,20,40,20
"Lucius Benjamin",1930-09-10,1950-10-01,1907-4-2,23,43,20
"Lafayette Napoleon",1887-04-23,1907-06-06,1866-5-12,20,41,20
"Miguel Jerez",1992-04-11,2012-09-11,1971-2-19,21,41,20
"James Philip",1909-04-19,1929-10-06,1879-12-8,29,49,20
"Philip Joseph",1934-09-16,1955-05-08,1916-7-19,18,38,20
"William Joseph",1969-09-21,1990-05-30,1949-12-14,19,40,20
"Earl Welton",1928-09-08,1948-09-15,1905-4-9,23,43,20
"William Edward",1898-04-22,1918-09-02,1876-10-13,21,41,20
Ivan,1991-06-20,2011-09-28,1971-11-27,19,39,20
"Manuel Rafael",1962-04-16,1982-09-01,1938-2-18,24,44,20
Frank,1956-04-17,1976-09-18,1935-8-31,20,41,20
"Eddie Clarence",1977-04-07,1997-09-20,1956-2-24,21,41,20
"Adolfo Domingo de Guzman",1914-05-20,1935-04-26,1890-8-4,23,44,20
"Lyndall Dale",1955-09-02,1975-09-27,1935-12-13,19,39,20
"Calvin Edwin",1981-08-10,2001-10-06,1960-8-24,20,41,20
"Willie Lee",1959-07-30,1980-07-06,1938-1-10,21,42,20
"Henry Clement",1892-10-15,1913-06-01,1870-11-28,21,42,20
"Arthur Lee",1991-08-21,2011-09-27,1969-10-24,21,41,20
"Paul Leo",1978-04-07,1998-09-27,1956-8-22,21,42,20
"David Earl",1941-09-06,1962-08-06,1920-5-16,21,42,20
"Calvin Coolidge Julius Caesar Tuskahoma",1944-05-13,1964-07-14,1925-12-1,18,38,20
"Darren Christopher",1993-09-01,2013-09-29,1970-10-6,22,42,20
"Robert Arthur",1915-09-05,1935-09-23,1896-10-19,18,38,20
"George Herman",1914-07-11,1935-05-30,1895-2-6,19,40,20
"Jose Ramon Nova",1987-09-10,2007-09-29,1966-5-22,21,41,20
"Frank Edwin",1965-04-18,1984-09-25,1944-8-30,20,40,19
"Kenneth Scott",1989-04-06,2008-09-14,1964-11-10,24,43,19
"Alexander Emmanuel",1994-07-08,2013-09-25,1975-7-27,18,38,19
"James Alvin",1965-04-17,1984-05-12,1945-10-15,19,38,19
"Terence John",1986-06-08,2006-06-03,1963-3-9,23,43,19
"Louis Victor",1964-09-04,1984-06-16,1943-8-28,21,40,19
"Edgar Charles",1915-08-07,1934-09-18,1890-2-20,25,44,19
"Ralph Foster",1915-09-25,1934-09-30,1896-2-27,19,38,19
"Walter William",1945-06-01,1964-10-03,1927-4-2,18,37,19
"James Francis",1912-06-12,1931-07-28,1893-11-28,18,37,19
"Harold Abraham",1968-07-11,1987-07-17,1945-7-10,23,42,19
"Herold Dominic",1915-05-29,1934-08-25,1896-2-20,19,38,19
"Carl Frederick Rudolf",1907-09-21,1926-09-26,1888-12-20,18,37,19
"Frederick Wayne",1977-08-24,1997-05-02,1954-6-29,23,42,19
"Gilbert Raymond",1943-10-03,1963-05-05,1924-4-4,19,39,19
"Fielder Allison",1896-04-18,1915-09-01,1871-8-13,24,44,19
"Edwin David",1936-09-11,1955-09-25,1916-6-5,20,39,19
"Floyd Caves",1926-04-14,1945-09-16,1903-6-26,22,42,19
"Andres Jose",1985-08-23,2004-10-03,1961-6-18,24,43,19
"Henry Morgan",1910-09-13,1930-08-29,1889-8-24,21,41,19
"Frederick Lovett",1891-05-07,1910-05-28,1866-10-16,24,43,19
"Henry Eugene",1969-06-17,1988-07-01,1947-11-13,21,40,19
"Miguel Angel",1912-09-28,1932-09-07,1890-9-24,22,41,19
"Waite Charles",1918-07-24,1938-05-15,1899-9-9,18,38,19
LaTroy,1995-04-29,2014-09-27,1972-12-21,22,41,19
"Charles Leo",1922-04-12,1941-09-24,1900-12-20,21,40,19
"Melvin Leroy",1928-04-24,1947-09-07,1909-10-15,18,37,19
"Paul Aloysius",1872-04-20,1891-07-03,1855-3-1,17,36,19
"Derek Sanderson",1995-05-29,2014-09-28,1974-6-26,20,40,19
"Richard Wallace",1952-04-15,1971-09-25,1930-9-27,21,40,19
"Jason Gilbert",1995-05-08,2014-09-27,1971-1-8,24,43,19
"Jesse Joseph",1918-07-20,1937-09-10,1893-7-22,24,44,19
"Thomas William",1898-09-28,1918-09-02,1877-11-4,20,40,19
"John William",1966-07-30,1985-10-06,1945-11-20,20,39,19
"Anthony Keith",1982-07-19,2001-10-07,1960-5-9,22,41,19
"Silas Kenneth",1928-09-11,1947-09-25,1906-10-5,21,40,19
"Larry Wayne",1993-09-11,2012-10-03,1972-4-24,21,40,19
"David Andrew",1979-06-29,1998-09-25,1957-7-22,21,41,19
"Timothy Stephen",1992-07-31,2011-09-25,1966-8-2,25,45,19
"Oscar Harland",1906-05-19,1925-06-17,1883-3-17,23,42,19
"Matthew Wade",1992-05-29,2011-07-22,1968-2-27,24,43,19
"Paul Glee",1926-04-13,1945-04-26,1903-4-16,22,42,19
"Frank S.",1887-05-09,1906-09-13,1865-6-28,21,41,19
"Curtis Montague",1988-09-07,2007-09-25,1966-11-14,21,40,19
"Charles Louis",1884-07-18,1903-09-27,1860-11-23,23,42,19
"Robin R.",1974-04-05,1993-10-03,1955-9-16,18,38,19
"Rudy Caballero",1989-09-07,2008-09-28,1968-10-20,20,39,19
"George Thomas",1967-04-13,1986-09-19,1944-11-17,22,41,19
"James Laurie",1871-05-04,1890-10-04,1847-12-7,23,42,19
"Clyde Leroy",1926-05-31,1945-06-07,1901-11-30,24,43,19
"Alan Stuart",1977-09-09,1996-09-29,1958-2-21,19,38,19
"Brian Jay",1973-05-31,1992-10-04,1950-10-9,22,41,19
"William Henry",1960-09-08,1979-09-30,1940-4-15,20,39,19
"Leo Ernest",1925-10-02,1945-04-18,1905-7-27,20,39,19
"George Stacey",1890-04-19,1909-08-15,1870-8-23,19,38,19
"Grover Cleveland",1911-04-15,1930-05-28,1887-2-26,24,43,19
Santos,1988-09-30,2007-09-30,1966-6-18,22,41,19
"Russell Aubrey",1910-04-14,1929-06-05,1886-10-23,23,42,19
"Thomas Peter",1884-06-09,1903-09-27,1866-2-7,18,37,19
"Craig Alan",1988-06-26,2007-09-30,1965-12-14,22,41,19
"Frederick Behlmer",1903-08-31,1923-07-04,1881-11-14,21,41,19
"Dwight Michael",1972-09-16,1991-10-06,1951-11-3,20,39,19
"Urban Clarence",1914-04-17,1933-09-20,1888-9-6,25,45,19
Dagoberto,1964-07-23,1983-10-01,1942-3-9,22,41,19
"James Joseph",1894-05-12,1913-07-29,1874-3-18,20,39,19
"John Joseph",1872-05-02,1891-07-23,NULL,NULL,NULL,19
"Murry Monroe",1939-09-30,1959-09-14,1916-8-21,23,43,19
"Bob Kelly",1996-09-01,2014-09-28,1974-3-11,22,40,18
"Roger Philip",1897-08-27,1915-10-03,1879-6-11,18,36,18
"Raymond Bloom",1914-04-24,1932-07-18,1894-10-23,19,37,18
"Doyle Lafayette",1971-06-26,1989-09-27,1950-9-4,20,39,18
"Charles Theodore",1981-04-10,1999-10-03,1960-1-17,21,39,18
"Rodney Cline",1967-04-11,1985-10-05,1945-10-1,21,40,18
"Max George",1910-10-03,1929-09-29,1890-1-11,20,39,18
"Louis Clark",1961-09-10,1979-09-30,1939-6-18,22,40,18
"William Frederick",1884-06-19,1902-09-24,1863-6-7,21,39,18
"Larry Eugene",1975-09-05,1994-07-31,1953-5-6,22,41,18
"Miguel Angel",1959-04-18,1977-05-03,1937-5-8,21,39,18
"Peter William",1927-09-14,1945-09-20,1904-5-20,23,41,18
"Joseph V.",1871-08-11,1890-05-28,1853-11-11,17,36,18
"Lawrence Peter",1946-09-22,1965-05-09,1925-5-12,21,39,18
"James Kevin",1986-09-30,2005-07-23,1965-3-14,21,40,18
"Joseph Edward",1926-04-29,1945-04-19,1906-10-12,19,38,18
"Samuel Earl",1899-09-10,1917-09-16,1880-4-18,19,37,18
"John Robert",1975-06-08,1993-07-07,1953-11-6,21,39,18
"Roger Maxwell",1929-09-18,1948-05-12,1905-7-22,24,42,18
"John Alton",1934-04-18,1952-09-21,1911-3-18,23,41,18
"Gary Edmund",1974-09-16,1992-09-27,1954-4-8,20,38,18
"Samuel Richard",1927-04-28,1945-06-28,1906-12-18,20,38,18
"Johnnie B.",1968-09-07,1986-10-04,1949-6-15,19,37,18
"Richard William",1927-10-02,1946-05-24,1907-11-22,19,38,18
"Forrest Harrill",1949-04-19,1967-10-01,1927-2-6,22,40,18
"Jacob Peter",1888-06-20,1907-06-15,1867-8-4,20,39,18
Ernest,1953-09-17,1971-09-26,1931-1-31,22,40,18
"David Ismael",1970-04-06,1988-09-15,1948-6-17,21,40,18
"Don Edward",1970-09-18,1988-10-01,1949-6-28,21,39,18
"Robert Raymond",1972-09-10,1990-09-27,1947-11-19,24,42,18
"William Malcolm",1928-08-15,1946-09-08,1907-6-6,21,39,18
"Douglas Reid",1982-04-09,2000-09-29,1957-6-24,24,43,18
"Burleigh Arland",1916-09-10,1934-09-20,1893-8-18,23,41,18
"Barry Louis",1986-08-13,2004-10-03,1964-4-28,22,40,18
"Gary Joseph",1981-09-20,2000-04-12,1958-8-19,23,41,18
"Octavio Antonio",1983-09-02,2001-10-07,1962-6-30,21,39,18
"Richard Benjamin",1929-04-19,1947-09-14,1905-10-12,23,41,18
"Joseph Ignatius",1915-09-20,1934-05-12,1894-5-25,21,39,18
"Steven Allen",1989-04-03,2007-06-03,1965-3-12,24,42,18
"Robert Daniel",1939-09-14,1957-09-29,1920-8-18,19,37,18
"Horace Milton",1927-04-23,1945-09-07,1898-9-23,28,46,18
"Ralston Burdett",1928-04-19,1947-04-17,1907-6-24,20,39,18
"Luis Emilio",1990-09-04,2008-09-28,1967-9-3,23,41,18
"Harry Edwin",1914-05-16,1932-05-31,1894-8-3,19,37,18
"James Edward",1941-09-09,1960-07-04,1920-8-3,21,39,18
"George Willis",1926-08-15,1944-08-31,1906-5-23,20,38,18
"Raymond Hall",1926-06-27,1945-06-18,1904-1-29,22,41,18
Ralph,1927-09-24,1946-07-17,1905-1-2,22,41,18
"Raul Javier",1996-08-01,2014-09-28,1972-6-2,24,42,18
"Charles Leonard",1924-09-22,1942-09-27,1903-5-11,21,39,18
"Alois Terry",1987-09-15,2005-10-02,1965-10-23,21,39,18
"Michael Ray",1986-08-11,2004-08-29,1964-12-22,21,39,18
"Jerome Martin",1967-04-14,1985-08-21,1942-12-23,24,42,18
"Jacob Nelson",1947-06-08,1965-07-25,1927-12-25,19,37,18
"Ferguson Arthur",1965-09-10,1983-09-26,1942-12-13,22,40,18
"Sylvester W.",1922-04-24,1940-09-26,1900-12-31,21,39,18
"Frank Francis",1919-06-17,1937-08-05,1897-9-9,21,39,18
"Ronald Lee",1952-04-21,1970-06-13,1932-3-9,20,38,18
"Gerald Wayne",1963-09-21,1981-10-03,1942-10-6,20,38,18
"Charles Henry",1923-04-18,1941-09-02,1899-3-17,24,42,18
"George Florian",1901-09-12,1920-07-29,1880-11-20,20,39,18
"Frederick Stanley",1986-05-17,2004-07-15,1963-10-31,22,40,18
"Alfonso Ramon",1928-09-27,1947-09-16,1908-8-20,20,39,18
Rafael,1986-09-08,2005-08-30,1964-9-24,21,40,18
"Fredie Hubert",1962-09-21,1980-09-25,1942-8-20,20,38,18
"Robin Evan",1948-06-18,1966-09-03,1926-9-30,21,39,18
"David Gene",1973-07-12,1991-10-02,1951-6-9,22,40,18
"Lance Michael",1977-09-05,1995-09-23,1956-6-15,21,39,18
Mariano,1995-05-23,2013-09-26,1969-11-29,25,43,18
"James Robert",1889-04-24,1907-07-08,1864-7-10,24,42,18
"Jose Antonio",1984-04-05,2002-09-28,1965-5-13,18,37,18
"John Ludy",1930-04-17,1948-09-11,1905-10-3,24,42,18
"Andrew Eugene",1995-04-29,2013-09-28,1972-6-15,22,41,18
Rudolph,1965-04-18,1983-09-21,1944-7-18,20,39,18
"Rickey Eugene",1972-06-19,1991-04-22,1949-5-16,23,41,18
"Harold Henry",1940-04-23,1958-09-26,1918-7-23,21,40,18
"Ronald Lee",1966-09-26,1984-09-29,1942-11-2,23,41,18
"John Phalen",1909-04-12,1927-08-01,1890-9-19,18,36,18
"Claude Wilson",1957-07-06,1975-09-27,1939-8-9,17,36,18
"John W.",1872-06-11,1890-08-25,1849-3-14,23,41,18
"Mark Tremell",1986-09-13,2004-10-02,1964-10-4,21,39,18
"Kent Franklin",1989-09-22,2008-05-30,1968-2-1,21,40,18
"Edd J.",1913-08-20,1931-09-27,1893-5-8,20,38,18
"Terrance Lamont",1901-08-25,1919-09-29,1881-2-28,20,38,18
"Ivey Brown",1911-04-20,1929-10-06,1890-7-8,20,39,18
"Ralph Lee",1930-09-20,1949-08-21,1909-10-29,20,39,18
"John David",1991-08-02,2009-10-03,1969-9-25,21,40,18
"Robert Jose",1966-09-09,1984-09-30,1946-4-10,20,38,18
Benito,1986-09-14,2005-04-11,1965-3-9,21,40,18
"William Michael",1989-08-24,2007-09-30,1967-6-2,22,40,18
"Russell Paul",1992-04-17,2010-08-04,1968-11-7,23,41,18
"Walter Henry",1913-05-09,1931-06-22,1889-8-22,23,41,18
"Lloyd James",1927-04-12,1945-09-16,1906-3-16,21,39,18
"William Henry",1931-09-17,1950-07-23,1909-4-19,22,41,18
"Chris Edward",1971-04-07,1989-10-01,1950-6-28,20,39,18
"Frank Edward",1990-08-02,2008-08-29,1968-5-27,22,40,18
Fred,1912-07-18,1930-09-22,1887-12-21,24,42,18
"Samuel Peralta",1989-06-16,2007-09-29,1968-11-12,20,38,18
"Albert Fred",1945-04-17,1963-07-07,1923-2-2,22,40,18
"John Richard",1953-07-03,1971-09-30,1935-1-7,18,36,18
"Osborne Earl",1978-04-07,1996-09-29,1954-12-26,23,41,18
"Charles N.",1873-06-16,1891-07-04,1854-10-6,18,36,18
"Irvin Key",1903-04-18,1921-08-26,1874-1-26,29,47,18
"Antonio Nemesio",1958-04-15,1976-09-29,1935-12-19,22,40,18
Fred,1931-04-28,1949-09-22,1910-9-24,20,38,18
"Jamey Alan",1996-07-03,2014-09-27,1974-12-24,21,39,18
"Eugene Richard",1943-09-23,1962-09-16,1922-8-16,21,40,18
"Louis Rodman",1977-09-09,1995-10-01,1957-5-12,20,38,18
"Zachariah Davis",1909-09-11,1927-09-21,1888-5-23,21,39,18
"Luis Clemente",1964-07-19,1982-09-04,1940-11-23,23,41,18
"William James",1987-04-08,2005-10-02,1964-8-4,22,41,18
Joseph,1893-07-20,1912-05-18,1870-7-31,22,41,18
"Paul Howard",1939-04-25,1957-09-11,1915-6-29,23,42,18
"Richard Charles",1964-04-18,1982-04-10,1945-9-13,18,36,17
"George Ernest",1919-04-30,1936-09-22,1898-9-18,20,38,17
"Willie James",1976-09-04,1994-05-16,1955-7-9,21,38,17
"Scott Douglas",1978-08-06,1996-05-15,1956-7-22,22,39,17
James,1923-04-17,1940-09-29,1900-7-23,22,40,17
"Henry John",1941-09-09,1959-08-17,1917-3-17,24,42,17
"Raymond William",1912-08-11,1929-09-15,1892-8-12,19,37,17
"Billy Leo",1959-08-06,1976-10-02,1938-6-15,21,38,17
"Jose Luis",1989-09-10,2006-10-01,1968-3-26,21,38,17
"Edwin Donald",1947-04-17,1964-10-03,1926-9-19,20,38,17
"Jonathan Thompson Walton",1918-07-11,1936-05-28,1896-5-7,22,40,17
"Edward Frederick",1944-08-16,1962-07-28,1926-10-13,17,35,17
Harry,1915-09-18,1933-06-13,1896-5-31,19,37,17
"Wilbur Forrester",1961-06-30,1978-08-22,1941-10-22,19,36,17
Frank,1973-06-12,1990-09-30,1950-9-4,22,40,17
"Truett Banks",1932-06-14,1949-09-19,1907-5-11,25,42,17
"James Bentley",1896-04-22,1913-07-17,1872-12-9,23,40,17
"Michael August",1991-04-08,2008-09-28,1966-3-10,25,42,17
"Ezra Ballou",1871-05-04,1888-06-20,1849-9-17,21,38,17
"Richard Lee",1976-09-29,1994-07-22,1956-6-21,20,38,17
"Mervyn John",1927-04-23,1944-08-19,1900-9-5,26,43,17
"Clayland Maffitt",1928-09-04,1945-09-08,1903-1-24,25,42,17
Frederick,1894-06-16,1911-10-07,1871-11-26,22,39,17
"William Rodman",1952-04-17,1969-06-16,1927-10-15,24,41,17
"George Kenneth",1973-08-25,1991-05-31,1950-4-10,23,41,17
"Alfredo Claudino",1976-09-04,1993-10-03,1957-10-6,18,35,17
Michael,1968-09-10,1985-10-06,1948-8-16,20,37,17
"Henry Benjamin",1930-09-14,1947-09-18,1911-1-1,19,36,17
"John Sherman",1946-04-20,1963-09-07,1924-8-23,21,39,17
"William Henry",1892-09-30,1910-09-05,1872-3-3,20,38,17
"James Francis",1875-05-22,1892-08-02,1856-12-25,18,35,17
"Roland Glen",1968-09-15,1985-09-17,1946-8-25,22,39,17
"Leon Allen",1921-09-16,1938-09-25,1900-10-16,20,37,17
"Joseph James",1891-07-27,1908-10-03,1871-12-9,19,36,17
"George Andrew",1971-06-04,1988-10-02,1949-10-18,21,38,17
"William Wattison",1963-09-10,1980-10-05,1942-10-18,20,37,17
"Fred Landis",1925-08-12,1943-07-16,1901-7-28,24,41,17
"Michael Kendall",1975-09-05,1992-09-27,1951-12-16,23,40,17
Millard,1940-09-14,1958-04-26,1920-1-7,20,38,17
"Richard Joseph",1968-09-23,1985-10-03,1947-11-26,20,37,17
"Steven Patrick",1969-09-01,1987-05-23,1948-12-22,20,38,17
"Torii Kedar",1997-08-22,2014-09-28,1975-7-18,22,39,17
"Edward Emil",1962-09-22,1979-09-30,1944-11-8,17,34,17
"Leonard Anthony",1988-09-07,2005-10-02,1964-10-28,23,40,17
"Francis Isaiah",1884-05-15,1902-05-10,1863-5-1,21,39,17
"Jason Derik",1995-07-17,2012-09-19,1972-9-7,22,40,17
"Frederick Lawrence",1900-06-06,1917-06-30,1876-5-24,24,41,17
"Grant Dwight",1965-09-03,1982-09-08,1942-9-28,22,39,17
"Colbert Dale",1969-09-05,1986-10-04,1948-10-26,20,37,17
"John Joseph",1873-09-01,1891-04-29,1855-2-14,18,36,17
"Paul Henry",1997-09-08,2014-09-28,1976-3-5,21,38,17
"Stanley Julian Antonio",1984-04-15,2001-10-06,1964-1-9,20,37,17
"Michael William",1993-04-17,2010-10-03,1972-9-9,20,38,17
"Granville Wilbur",1944-09-14,1962-08-01,1927-4-26,17,35,17
"Trevor William",1993-04-06,2010-09-29,1967-10-13,25,42,17
"Arthur L.",1929-09-12,1947-06-15,1906-3-10,23,41,17
"Vernon Sanders",1950-06-11,1967-08-20,1930-3-12,20,37,17
"John Calvin",1950-05-03,1967-05-27,1927-10-17,22,39,17
"Woodrow Thompson",1966-04-15,1983-07-28,1940-4-12,26,43,17
"Theodore Wade",1955-04-13,1972-09-30,1933-3-6,22,39,17
Hugh,1888-06-23,1906-04-13,1866-11-26,21,39,17
"Jay Hanna",1930-09-28,1947-09-28,1910-1-16,20,37,17
"Wade Anthony",1982-04-10,1999-08-27,1958-6-15,23,41,17
"Shawon Donnell",1985-04-09,2002-09-29,1963-3-21,22,39,17
"Herman Thomas",1959-09-22,1976-10-02,1939-3-21,20,37,17
"Virgil Lawrence",1928-04-30,1945-09-05,1904-12-20,23,40,17
"Mark William",1980-09-12,1997-09-28,1960-10-19,19,36,17
"James Edward",1973-06-10,1990-06-21,1950-6-3,23,40,17
